gatherer,date,fruit,amount
John,01-01-2020,apples,0.01
John,01-01-2020,oranges,0.06
John,01-01-2020,strawberries,0
John,01-01-2020,plums,0
John,01-01-2020,pears,0.02
John,01-01-2020,tomatoes,0.16
Nick,01-01-2020,apples,0
Nick,01-01-2020,oranges,0.16
Nick,01-01-2020,strawberries,0
Nick,01-01-2020,plums,0
Nick,01-01-2020,pears,0.01
Nick,01-01-2020,tomatoes,0.06
Rick,01-01-2020,apples,0
Rick,01-01-2020,oranges,0.09
Rick,01-01-2020,strawberries,0
Rick,01-01-2020,plums,0
Rick,01-01-2020,pears,0.01
Rick,01-01-2020,tomatoes,0.08
Dick,01-01-2020,apples,0
Dick,01-01-2020,oranges,0.11
Dick,01-01-2020,strawberries,0
Dick,01-01-2020,plums,0
Dick,01-01-2020,pears,0.01
Dick,01-01-2020,tomatoes,0.04
Jake,01-01-2020,apples,0
Jake,01-01-2020,oranges,0.07
Jake,01-01-2020,strawberries,0
Jake,01-01-2020,plums,0
Jake,01-01-2020,pears,0.01
Jake,01-01-2020,tomatoes,0.08
Paul,01-01-2020,apples,0
Paul,01-01-2020,oranges,0.15
Paul,01-01-2020,strawberries,0
Paul,01-01-2020,plums,0
Paul,01-01-2020,pears,0.01
Paul,01-01-2020,tomatoes,0.05
Jason,01-01-2020,apples,0
Jason,01-01-2020,oranges,0.22
Jason,01-01-2020,strawberries,0
Jason,01-01-2020,plums,0
Jason,01-01-2020,pears,0.01
Jason,01-01-2020,tomatoes,0.15
Peter,01-01-2020,apples,0.01
Peter,01-01-2020,oranges,0.09
Peter,01-01-2020,strawberries,0
Peter,01-01-2020,plums,0
Peter,01-01-2020,pears,0.01
Peter,01-01-2020,tomatoes,0.01
John,02-01-2020,apples,0.01
John,02-01-2020,oranges,0.16
John,02-01-2020,strawberries,0
John,02-01-2020,plums,0
John,02-01-2020,pears,0
John,02-01-2020,tomatoes,0.03
Nick,02-01-2020,apples,0
Nick,02-01-2020,oranges,0.03
Nick,02-01-2020,strawberries,0
Nick,02-01-2020,plums,0
Nick,02-01-2020,pears,0
Nick,02-01-2020,tomatoes,0.15
Rick,02-01-2020,apples,0.01
Rick,02-01-2020,oranges,0.13
Rick,02-01-2020,strawberries,0
Rick,02-01-2020,plums,0
Rick,02-01-2020,pears,0.01
Rick,02-01-2020,tomatoes,0.02
Dick,02-01-2020,apples,0.01
Dick,02-01-2020,oranges,0.11
Dick,02-01-2020,strawberries,0
Dick,02-01-2020,plums,0
Dick,02-01-2020,pears,0.01
Dick,02-01-2020,tomatoes,0.06
Jake,02-01-2020,apples,0
Jake,02-01-2020,oranges,0.13
Jake,02-01-2020,strawberries,0
Jake,02-01-2020,plums,0
Jake,02-01-2020,pears,0.01
Jake,02-01-2020,tomatoes,0.05
Paul,02-01-2020,apples,0
Paul,02-01-2020,oranges,0.09
Paul,02-01-2020,strawberries,0
Paul,02-01-2020,plums,0
Paul,02-01-2020,pears,0.01
Paul,02-01-2020,tomatoes,0.05
Jason,02-01-2020,apples,0
Jason,02-01-2020,oranges,0.09
Jason,02-01-2020,strawberries,0
Jason,02-01-2020,plums,0
Jason,02-01-2020,pears,0
Jason,02-01-2020,tomatoes,0.1
Peter,02-01-2020,apples,0
Peter,02-01-2020,oranges,0.1
Peter,02-01-2020,strawberries,0
Peter,02-01-2020,plums,0
Peter,02-01-2020,pears,0.01
Peter,02-01-2020,tomatoes,0.1
John,03-01-2020,apples,0.01
John,03-01-2020,oranges,0.1
John,03-01-2020,strawberries,0
John,03-01-2020,plums,0
John,03-01-2020,pears,0.01
John,03-01-2020,tomatoes,0.11
Nick,03-01-2020,apples,0
Nick,03-01-2020,oranges,0.09
Nick,03-01-2020,strawberries,0
Nick,03-01-2020,plums,0
Nick,03-01-2020,pears,0.01
Nick,03-01-2020,tomatoes,0.11
Rick,03-01-2020,apples,0.01
Rick,03-01-2020,oranges,0.09
Rick,03-01-2020,strawberries,0
Rick,03-01-2020,plums,0
Rick,03-01-2020,pears,0.01
Rick,03-01-2020,tomatoes,0.05
Dick,03-01-2020,apples,0
Dick,03-01-2020,oranges,0.06
Dick,03-01-2020,strawberries,0
Dick,03-01-2020,plums,0
Dick,03-01-2020,pears,0
Dick,03-01-2020,tomatoes,0.08
Jake,03-01-2020,apples,0.01
Jake,03-01-2020,oranges,0.07
Jake,03-01-2020,strawberries,0
Jake,03-01-2020,plums,0
Jake,03-01-2020,pears,0.01
Jake,03-01-2020,tomatoes,0.11
Paul,03-01-2020,apples,0.01
Paul,03-01-2020,oranges,0.08
Paul,03-01-2020,strawberries,0
Paul,03-01-2020,plums,0
Paul,03-01-2020,pears,0.01
Paul,03-01-2020,tomatoes,0.08
Jason,03-01-2020,apples,0
Jason,03-01-2020,oranges,0.11
Jason,03-01-2020,strawberries,0
Jason,03-01-2020,plums,0
Jason,03-01-2020,pears,0.01
Jason,03-01-2020,tomatoes,0.11
Peter,03-01-2020,apples,0
Peter,03-01-2020,oranges,0.04
Peter,03-01-2020,strawberries,0
Peter,03-01-2020,plums,0
Peter,03-01-2020,pears,0.01
Peter,03-01-2020,tomatoes,0.13
John,04-01-2020,apples,0
John,04-01-2020,oranges,0.1
John,04-01-2020,strawberries,0
John,04-01-2020,plums,0
John,04-01-2020,pears,0.01
John,04-01-2020,tomatoes,0.11
Nick,04-01-2020,apples,0
Nick,04-01-2020,oranges,0.06
Nick,04-01-2020,strawberries,0
Nick,04-01-2020,plums,0
Nick,04-01-2020,pears,0.01
Nick,04-01-2020,tomatoes,0.07
Rick,04-01-2020,apples,0
Rick,04-01-2020,oranges,0.08
Rick,04-01-2020,strawberries,0
Rick,04-01-2020,plums,0
Rick,04-01-2020,pears,0.02
Rick,04-01-2020,tomatoes,0.11
Dick,04-01-2020,apples,0
Dick,04-01-2020,oranges,0.12
Dick,04-01-2020,strawberries,0
Dick,04-01-2020,plums,0
Dick,04-01-2020,pears,0
Dick,04-01-2020,tomatoes,0.03
Jake,04-01-2020,apples,0.01
Jake,04-01-2020,oranges,0.12
Jake,04-01-2020,strawberries,0
Jake,04-01-2020,plums,0
Jake,04-01-2020,pears,0.02
Jake,04-01-2020,tomatoes,0.03
Paul,04-01-2020,apples,0.01
Paul,04-01-2020,oranges,0.09
Paul,04-01-2020,strawberries,0
Paul,04-01-2020,plums,0
Paul,04-01-2020,pears,0.01
Paul,04-01-2020,tomatoes,0.09
Jason,04-01-2020,apples,0.01
Jason,04-01-2020,oranges,0.16
Jason,04-01-2020,strawberries,0
Jason,04-01-2020,plums,0
Jason,04-01-2020,pears,0.02
Jason,04-01-2020,tomatoes,0.07
Peter,04-01-2020,apples,0.01
Peter,04-01-2020,oranges,0.13
Peter,04-01-2020,strawberries,0
Peter,04-01-2020,plums,0
Peter,04-01-2020,pears,0.01
Peter,04-01-2020,tomatoes,0.12
John,05-01-2020,apples,0.01
John,05-01-2020,oranges,0.1
John,05-01-2020,strawberries,0
John,05-01-2020,plums,0
John,05-01-2020,pears,0
John,05-01-2020,tomatoes,0.09
Nick,05-01-2020,apples,0
Nick,05-01-2020,oranges,0.05
Nick,05-01-2020,strawberries,0
Nick,05-01-2020,plums,0
Nick,05-01-2020,pears,0.01
Nick,05-01-2020,tomatoes,0.08
Rick,05-01-2020,apples,0.01
Rick,05-01-2020,oranges,0.08
Rick,05-01-2020,strawberries,0
Rick,05-01-2020,plums,0
Rick,05-01-2020,pears,0
Rick,05-01-2020,tomatoes,0.13
Dick,05-01-2020,apples,0.01
Dick,05-01-2020,oranges,0.12
Dick,05-01-2020,strawberries,0
Dick,05-01-2020,plums,0
Dick,05-01-2020,pears,0.02
Dick,05-01-2020,tomatoes,0.04
Jake,05-01-2020,apples,0.01
Jake,05-01-2020,oranges,0.1
Jake,05-01-2020,strawberries,0
Jake,05-01-2020,plums,0
Jake,05-01-2020,pears,0.01
Jake,05-01-2020,tomatoes,0.16
Paul,05-01-2020,apples,0
Paul,05-01-2020,oranges,0.06
Paul,05-01-2020,strawberries,0
Paul,05-01-2020,plums,0
Paul,05-01-2020,pears,0.01
Paul,05-01-2020,tomatoes,0.11
Jason,05-01-2020,apples,0.01
Jason,05-01-2020,oranges,0.08
Jason,05-01-2020,strawberries,0
Jason,05-01-2020,plums,0
Jason,05-01-2020,pears,0.01
Jason,05-01-2020,tomatoes,0.05
Peter,05-01-2020,apples,0.01
Peter,05-01-2020,oranges,0.08
Peter,05-01-2020,strawberries,0
Peter,05-01-2020,plums,0
Peter,05-01-2020,pears,0.01
Peter,05-01-2020,tomatoes,0.09
John,06-01-2020,apples,0.01
John,06-01-2020,oranges,0.11
John,06-01-2020,strawberries,0
John,06-01-2020,plums,0
John,06-01-2020,pears,0.01
John,06-01-2020,tomatoes,0.08
Nick,06-01-2020,apples,0.01
Nick,06-01-2020,oranges,0.13
Nick,06-01-2020,strawberries,0
Nick,06-01-2020,plums,0
Nick,06-01-2020,pears,0.01
Nick,06-01-2020,tomatoes,0.08
Rick,06-01-2020,apples,0
Rick,06-01-2020,oranges,0.11
Rick,06-01-2020,strawberries,0
Rick,06-01-2020,plums,0
Rick,06-01-2020,pears,0.02
Rick,06-01-2020,tomatoes,0.08
Dick,06-01-2020,apples,0.01
Dick,06-01-2020,oranges,0.16
Dick,06-01-2020,strawberries,0
Dick,06-01-2020,plums,0
Dick,06-01-2020,pears,0.01
Dick,06-01-2020,tomatoes,0.17
Jake,06-01-2020,apples,0.01
Jake,06-01-2020,oranges,0.11
Jake,06-01-2020,strawberries,0
Jake,06-01-2020,plums,0
Jake,06-01-2020,pears,0.01
Jake,06-01-2020,tomatoes,0.02
Paul,06-01-2020,apples,0.01
Paul,06-01-2020,oranges,0.08
Paul,06-01-2020,strawberries,0
Paul,06-01-2020,plums,0
Paul,06-01-2020,pears,0.02
